"lipid","type","logFC","logCPM","LR","PValue","FDR","SolventBlank","2A","2B","2C","2D","2E","1A","1B","1C","1D","1E","mean1","mean2"
"(11Z)-eicoseneoylcarnitine","AC",-0.0112327871946947,10.647503497643,0.00184374821674282,0.96575024812339,0.999889391799664,1352628.2929686,1577835.5507815,1386509.1367188,1446950.2421872,1368783.1152341,1553496.4697265,1515292.6640625,1573934.1445317,1402611.7988285,1377123.1171876,1785859.4355467,1530964.2320314,1466714.90292962
"(11Z,14Z)-eicosadienoylcarnitine","AC",-0.000652086643061943,10.5795835236027,6.21375511400402e-06,0.998011082914554,0.999889391799664,1308280.3896489,1502606.2460937,1351199.7529295,1320437.2929685,1301909.930664,1478161.6210937,1415584.3466795,1489607.0048826,1329618.8095701,1299207.7363278,1791960.7080076,1465195.72109352,1390862.96874988
"(13Z,16Z)-docosadienoylcarnitine","AC",-0.123750328087723,10.4892007080169,0.223710562699125,0.636227084309487,0.999889391799664,1116669.43969706,1397309.51342791,1168510.0437014,1189336.60473633,1164777.86084022,1447324.66113313,1364655.94091852,1570333.77660994,1198649.03198261,1211522.96557648,1832992.8366701,1435630.91035153,1273451.7367678
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","AC",-0.571364239815904,10.7554897357226,4.73953486963364,0.0294770397972602,0.999889391799664,766595.77685567,1468789.07861339,1329730.36962902,1469768.04931594,1421180.87158194,1611085.84472653,2311752.88818369,1673189.42285148,1684791.85644539,2445071.60693355,1470201.3261718,1917001.42011718,1460110.84277336
"(5Z,8Z)-tetradecadienoylcarnitine","AC",-0.0325328978235077,9.94297254168844,0.0154654111220225,0.901030237966921,0.999889391799664,801963.05908214,940939.86962901,881308.063964979,871132.76220708,897070.70800756,965699.50439454,917726.88720734,970880.6347658,929729.47021499,849975.49804691,1010588.38916012,935780.175879032,911230.181640634
"(7Z,10Z)-hexadecadienoylcarnitine","AC",-0.0266645182702598,9.59964550032169,0.0103892660968086,0.918814023833658,0.999889391799664,635406.78515624,757539.669433571,706990.46972666,651941.04638682,682459.95019545,752346.15136703,730034.13134782,740371.23583979,707458.14892584,677937.1479493,865534.51953109,744267.036718768,710255.457421906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine","AC",-0.0780020756164581,10.5724838492817,0.0888968977960758,0.765584233450703,0.999889391799664,1202994.58715867,1741118.24804742,1265926.46289055,1211986.86328146,1212262.9843749,1599343.81298746,1445191.42724604,1727137.56469754,1254025.08789059,1214048.88623068,1659649.07714795,1460010.40864256,1406127.67431636
"(9Z)-3-hydroxyoctadecenoylcarnitine","AC",-0.0260861434649637,11.5467970636433,0.00994358136085793,0.92056860061153,0.999889391799664,1854346.1132807,3343514.8613278,3433019.4794924,2253666.7578126,2712620.0410156,2589314.4511719,3116678.3515617,3587276.6855478,2726974.3466801,2170442.7666016,2813709.8691416,2883016.40390656,2866427.11816406
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","AC",-0.0522258712894131,10.3548705135945,0.0398542244074638,0.841765874081583,0.999889391799664,822958.77978509,1522869.69433575,1420624.49413998,966763.44970715,1166539.63671888,1214468.49023431,1334541.55175809,1613700.99853532,1173751.05371102,943186.32177735,1217417.12255863,1256519.40966808,1258253.15302721
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","AC",-0.0455562507170215,11.3582476748803,0.0303254117316101,0.861753921344828,0.999889391799664,1546114.0898432,2984770.7089841,3026084.7568363,1923078.63086,2382395.2919915,2286644.1113279,2719564.7382816,3204048.632814,2435860.5322257,1895036.3115234,2465216.1318358,2543945.2693361,2520594.69999996
"1-O-behenoyl-Cer(d18:1/16:0)","CER",0.0318391463175023,5.31646150708839,0.0148082487041279,0.903145208123097,0.999889391799664,34619.542419438,36106.962600703,37953.8626556337,36771.142791743,37362.7627678011,36758.80259703,35453.582580563,38245.982681275,37202.062545775,36752.8026733393,38640.2826919496,37258.9426345804,36990.7066825822
"1-O-carboceroyl-Cer(d18:1/16:0)","CER",-0.115371552895553,5.741501717288,0.194404033712203,0.659276178842644,0.999889391799664,38048.002899165,45946.543014519,48625.46324157,47388.863292692,48557.4832000669,49578.2836379966,41726.343025201,70850.185424809,46968.4233207695,46101.982986438,63193.624481194,53768.1118476823,48019.3272773689
"1-O-carboceroyl-Cer(d18:1/18:0)","CER",0.0982927140943848,4.62246955631737,0.141078257593506,0.707211422724902,0.999889391799664,19196.2813644416,21835.0215911925,28201.3620300286,21942.6814804113,23966.4417037869,21721.7014465234,22032.0015449483,24223.1017341645,24732.5018043502,18023.2813072195,25621.5618133445,22926.4896408054,23533.4416503885
"1-O-cerotoyl-Cer(d18:1/16:0)","CER",-0.48678811380749,6.91617097062116,3.44595305573057,0.0634068429699614,0.999889391799664,38759.382720946,84147.0248107915,102600.427658058,87646.565422044,103535.127029455,92472.9077606436,72044.4055481384,244782.556137004,115789.648391714,73405.3447417571,230759.054241153,147356.201811953,94080.4105361984
"1-O-cerotoyl-Cer(d18:1/18:0)","CER",-0.618237737139511,7.20819539715682,5.54246483459337,0.0185604230868883,0.999889391799664,34329.762130742,90193.2873840283,128750.810241757,102066.507160115,119871.148567226,110666.688030174,83969.045868011,333057.628654556,135053.24969094,83212.8067168424,307391.921897897,188536.930565649,110309.68827666
"1-O-eicosanoyl-Cer(d18:1/16:0)","CER",-0.02993034683951,5.26845208242124,0.0130858115621777,0.908926078739581,0.999889391799664,32147.9623718241,36779.562469481,36907.1825180095,33582.6621780237,33767.182422631,36742.302711485,37326.30270385,38941.262817376,35606.86257171,33746.482376095,37229.122528075,36570.0065994212,35555.778459926
"1-O-lignoceroyl-Cer(d18:1/16:0)","CER",-0.159419341922147,5.70310165871084,0.371092061948957,0.542409601791073,0.999889391799664,34160.862197878,45126.442878704,45384.0635910032,45500.623390185,49076.363189701,50214.9832916218,43354.043052661,62752.424926762,49294.3435287513,46188.103378294,61898.284065258,52697.4397903453,47060.495268243
"1-O-myristoyl-Cer(d18:1/16:0)","CER",0.0233483424581016,5.73694877518325,0.00796404259335759,0.928889996850844,0.999889391799664,49382.863464358,54352.863754281,48790.223480223,48231.583190924,44692.58300781,50448.563812247,50068.943756095,54737.983917227,49271.523391718,45406.203323357,47340.0832595829,49364.947529596,49303.163449097
"1-O-palmitoyl-Cer(d18:1/16:0)","CER",-0.000230831984407458,5.48868351486992,7.78356366026856e-07,0.999296070369996,0.999889391799664,41429.162757869,44597.94309997,42112.063064567,39542.142822265,36396.582679753,38718.482696523,46432.503494268,47512.943023677,42530.223098758,35940.6824646008,41588.042907698,42800.8789978004,40273.4428726156
"1-O-stearoyl-Cer(d18:1/16:0)","CER",-0.0495929684822746,5.28035463027357,0.0359256945153561,0.849669022887918,0.999889391799664,32585.4820785515,33489.9025650126,37073.862625131,33669.882369991,36871.3025627143,38358.8827743436,38629.002777104,38787.882644646,37001.742530817,32629.34228515,37150.602447501,36839.7145370436,35892.7665794385
"1-O-tricosanoyl-Cer(d18:1/16:0)","CER",-0.135766631514887,5.69129344235976,0.269182165571465,0.603880910780445,0.999889391799664,42042.583030701,44792.18312072,44195.943084715,42246.162933348,47098.323074339,53279.303833,44766.603172309,57396.803932182,49915.623344424,44939.683151237,56728.364257801,50749.4155715906,46322.3832092244
"1-O-tricosanoyl-Cer(d18:1/18:0)","CER",0.0192536599151985,4.09764803677955,0.0054128522782122,0.941350880692588,0.999889391799664,14360.4010047894,15783.9211921723,16481.7611160292,16718.6612167309,14990.2411003128,16358.5211868273,15142.0410690357,15327.1611137386,17099.8411750797,15785.521041867,16376.0011558503,15946.1131111143,16066.6211624145
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine","AC",0.0104560271524018,11.0052256622043,0.00159757303026709,0.968117321652036,0.999889391799664,1719192.5791019,2055550.0000007,1894019.3896484,1737779.573242,1812478.1210935,1950501.2988279,1931106.4882809,1985310.4999996,1847576.208985,1729512.8437496,2282372.8613278,1955175.78046858,1890065.6765625
"12:0 Cholesteryl ester","CE",0.080703090582512,6.63038299358232,0.0951476205915611,0.757732272232216,0.999889391799664,101390.187271122,89639.146293645,84922.606079104,91477.526473988,94629.646881101,88705.245910647,87131.045898439,87514.346237184,99538.047042834,89680.8863983109,92158.166473386,91204.4984100308,89874.834327697
"14:0 Cholesteryl ester","CE",-0.00237012892894592,5.61921724703559,8.20654880726579e-05,0.99277206231306,0.999889391799664,45323.103149414,46842.043312076,42520.543029783,45304.263137818,43015.8830032282,44854.403244015,47611.283416746,46571.883117669,48682.123138424,43228.34318542,46148.203247066,46448.367221065,44507.427145384
"14:1 Cholesteryl ester","CE",0.0634857319851188,5.61562361893282,0.0588752923105176,0.808282499108607,0.999889391799664,44225.623046868,45107.763122555,48100.46330262,42768.903137206,46562.863143924,44209.343276976,43902.823074332,46903.763351436,44984.042984011,43921.563247682,48486.503479001,45639.7392272924,45349.8671966562
"15:0 Campesteryl ester_simulated","CE",-0.10395615474199,6.78922343714465,0.157865272156897,0.691129561741629,0.999889391799664,81735.145584096,101625.047225942,100832.66735841,96855.686614967,104904.527618417,100077.527374264,103211.727416966,113038.207794194,115410.368011468,105135.767150881,106029.507263213,108565.115527344,100859.0912384
"15:0 Cholesteryl ester","CE",0.0344762932831573,6.35338245577206,0.0173657409723091,0.895158988811992,0.999889391799664,77599.225250243,79991.905731209,72244.665008534,74667.305389404,72851.625000014,76786.945587157,76055.605590814,74650.545013427,78810.925476064,74709.645172108,73169.605133055,75479.2652770936,75308.4893432636
"15:1 Campesteryl ester_simulated","CE",-0.082929178692412,6.95545100397843,0.100470940085074,0.751265217842648,0.999889391799664,94190.586669919,116334.188537609,114323.448333716,106869.647583006,115737.228332498,117603.428283711,113311.907897923,121901.128173841,124708.269226064,118983.608520523,122319.849060055,120244.952575681,114173.588214108
"15:1 Cholesteryl ester","CE",0.0052194205251682,6.3525318374034,0.000398021587795228,0.984082877215964,0.999889391799664,72015.5848693649,79384.545349127,69914.845184307,76006.545227058,75290.305450446,74837.785369853,75651.105255122,77006.865325938,78630.125640863,76945.68515014,76128.425201418,76872.4413146962,75086.8053161582
"16:0 Campesteryl ester","CE",-0.322496577125729,7.10432296863933,1.51648250602784,0.218152571955607,0.999889391799664,70310.805084228,110622.208099373,123569.589401246,113582.308227571,134237.749115,118092.887939433,130306.04922484,136723.869415293,185368.153900018,134992.549774195,152229.650329563,147924.054528782,120020.948556525
"16:0 Cholesteryl ester","CE",-0.0443517261619602,6.81885118597141,0.0287399002831989,0.86538098493179,0.999889391799664,88829.906066897,102962.947113021,109286.787933343,98583.007141102,107949.407745375,100239.627075191,105862.187164331,109673.587585461,118075.988769503,104637.587493891,105324.22747801,108714.715698239,103804.355401606
"16:1 Cholesteryl ester","CE",-0.0418943850067667,6.96490096204618,0.0256438131444839,0.872773267683535,0.999889391799664,94506.427001947,119354.548400884,117373.688049313,110544.087890646,122437.328735342,115146.007995599,119245.768127442,117199.788269027,129138.108947754,116119.367980959,113495.548095695,119039.716284175,116971.132214357
"16:2 Campesteryl ester","CE",-0.200832176898907,6.69093222606127,0.588831906746009,0.442871168922919,0.999889391799664,72105.024841303,87893.925994851,88880.14691164,84882.406249974,94142.207031257,85567.4665832399,94368.726409923,94057.40682982,129633.310241721,101728.047027601,121772.40786742,108311.979675297,88273.2305541924
"16:2 Cholesteryl ester, zymosteryl palmitoleate","CE",-0.0931077859979774,6.72569582203279,0.126641061079526,0.721940444517473,0.999889391799664,82031.485870363,94727.0868530259,95813.266418451,94757.786773694,99703.8866577,99601.327514647,98278.1871032929,101644.707305912,112676.608001718,100547.006805423,99941.367187518,102617.575280773,96920.6708435036
"16:3 Campesteryl ester","CE",-0.219679970818193,6.64791358245079,0.704426041657314,0.401300464645811,0.999889391799664,69999.244842529,84797.166015636,84968.50610352,83591.485961937,90565.385803207,87565.266632091,87567.047027613,94052.04656984,126628.288452155,99901.8070068389,114744.348358172,104578.707482924,86297.5621032782
"16:3 Cholesteryl ester","CE",-0.031122958093926,6.62479065681668,0.0141523120964848,0.905304280600313,0.999889391799664,83371.0660400449,91897.9867248529,90203.286437995,87337.946075431,91963.706726081,90683.506774904,94587.5664977929,93633.746582014,97688.5867920091,91768.066528321,92207.90682983,93977.1746459934,90417.2865478528
"16:3 Stigmasteryl ester","CE",-0.208586323019169,8.74012185404242,0.635201903313828,0.42545361700424,0.999889391799664,74764.205169651,386605.648834328,485962.092102105,360888.446990882,552210.67611703,420329.031921433,378691.546691849,431729.673919624,586856.999450479,353229.543853765,382371.512206974,426575.855224538,441199.179193156
"17:0 Campesteryl ester_simulated","CE",-0.242995997774922,8.6944010954194,0.861793275256332,0.353237342416805,0.999889391799664,63329.44442749,380279.70706175,471320.232849198,351808.787414321,505434.498077074,410347.469634935,363221.025451819,437003.151489328,556115.184143087,350601.083709747,386938.769531341,418775.842865064,423838.139007456
